success,trial_type,trial_index,time_elapsed,internal_node_id,subject,rt,stimulus,response,load_time,raw_gaze,percent_in_roi,average_offset,validation_points,samples_per_sec,view_history,type,Congruency,letter,webgazer_data,webgazer_targets,correct
,html-keyboard-response,81,139382,0.0-16.0-1.5,HELLOOO_qwf214zlvamxncu,1132.4000000003725,"<div style = ""margin-top:-86px ; margin-left:790px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Red</p>",arrowright,,,,,,,,test trial,Incon,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,82,141133,0.0-16.0-0.6,HELLOOO_qwf214zlvamxncu,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,83,141815,0.0-16.0-1.6,HELLOOO_qwf214zlvamxncu,681.6999999992549,"<div style = ""margin-top:361px ; margin-left:-966px"" ><p class=""stimulus"" style=""color:rgb(0,0,255);font-size:70px;"">Blue</p>",arrowright,,,,,,,,test trial,Con,ArrowRight,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,84,142568,0.0-16.0-0.7,HELLOOO_qwf214zlvamxncu,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,85,143129,0.0-16.0-1.7,HELLOOO_qwf214zlvamxncu,561.1000000014901,"<div style = ""margin-top:-261px ; margin-left:-442px"" ><p class=""stimulus"" style=""color:rgb(255,0,0);font-size:70px;"">Red</p>",arrowleft,,,,,,,,test trial,Con,ArrowLeft,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,86,144130,0.0-16.0-0.8,HELLOOO_qwf214zlvamxncu,,"<div style=""font-size:60px;"">+</div><p><p>",,,,,,,,,fixation,,,,,
,html-keyboard-response,87,144612,0.0-16.0-1.8,HELLOOO_qwf214zlvamxncu,481.2000000011176,"<div style = ""margin-top:55px ; margin-left:-152px"" ><p class=""stimulus"" style=""color:rgb(0,255,0);font-size:70px;"">Red</p>",arrowdown,,,,,,,,test trial,Incon,ArrowDown,"[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]",[object Object],true
,html-keyboard-response,88,145821,0.0-17.0,HELLOOO_qwf214zlvamxncu,1208.199999999255,"<div style=""width: 800px;""><p>Well done!!.</p> <p>Press any key to move to Task-2 ..</p></div>",enter,,,,,,,,,,,,,
,html-button-response,89,147702,0.0-18.0,HELLOOO_qwf214zlvamxncu,1880.5,"<div style=""width: 800px; padding: 50px; border-radius: 10px ;background-color: #fff1f1""><p style=""font-size:20px"">Welcome to the Task 2:</p><h1>Continuous Performance Task</h1>",0,,,,,,,,,,,,,
,html-button-response,90,148228,0.0-19.0,HELLOOO_qwf214zlvamxncu,525.1999999992549,"<div style=""width: 800px;border: thin solid #ec7b7b ; border-radius: 10px ; padding: 10px""><p>This task will test your ability to hold information in short-term, temporary memory.</p><p>This is called working memory.</p></div>",0,,,,,,,,,,,,,
